	TFP	Y	C	I	H	pi	FFR	W
								
1954-10-01	2.0212	317.7455	264.4162	124.5163	-74.751	0.2807	0.2455	0.6813
1955-01-01	0.0386	320.2446	265.2412	128.7739	-73.4667	0.4811	0.3336	0.2141
1955-04-01	1.1354	321.4908	265.9969	132.7976	-72.5431	0.4143	0.3722	0.4042
1955-07-01	2.7123	322.5048	266.5815	134.8039	-71.8284	0.7016	0.4804	1.0725
1955-10-01	-2.9548	322.8324	268.2839	134.442	-70.8972	0.9766	0.5823	-0.1012
1956-01-01	-0.9456	322.1738	269.0482	131.8678	-70.5637	1.0049	0.6132	0.5549
1956-04-01	5.2979	322.722	269.3085	132.5039	-70.6209	0.5956	0.6644	1.3167
1956-07-01	3.1142	322.3462	269.6709	131.8664	-71.3157	1.2425	0.6928	0.2793
1956-10-01	5.8388	323.6815	270.5114	131.7893	-71.0482	0.4128	0.7212	1.2319
1957-01-01	9.5445	324.0654	270.7009	131.8639	-71.2181	1.3497	0.7228	0.0963
1957-04-01	15.555	323.5539	271.1304	130.3354	-71.7222	0.7012	0.739	0.2987
1957-07-01	19.9218	324.1784	271.7601	130.8061	-72.5495	0.6006	0.7955	0.7266
1957-10-01	28.8355	322.7612	271.8156	128.6957	-75.03	0.0599	0.8004	1.2776
1958-01-01	30.0978	319.81	271.0968	122.4807	-77.6465	1.0773	0.4615	-1.022
1958-04-01	31.1172	320.2035	272.0506	119.8201	-79.3517	0.2838	0.2339	0.5701
1958-07-01	30.7353	322.2153	273.2935	121.1015	-78.4452	0.6062	0.3287	1.6984
1958-10-01	31.1021	324.1446	273.8408	126.0525	-77.3458	0.4683	0.5351	-0.0671
1959-01-01	27.4496	325.6092	274.6636	131.2742	-75.8064	0.2683	0.6344	0.7014
1959-04-01	27.8002	327.6429	275.585	134.2053	-74.2797	0.1455	0.7592	0.6707
1959-07-01	30.7851	327.0923	276.2258	135.0065	-74.9328	0.3715	0.8786	0.2167
1959-10-01	34.5714	327.1685	276.8771	132.8526	-75.2355	0.3932	0.9781	0.5667
1960-01-01	40.7317	328.6941	276.8841	135.4844	-75.2976	0.409	0.9645	1.7241
1960-04-01	40.4265	328.0308	277.6987	134.1071	-75.4028	0.2641	0.9075	0.3658
1960-07-01	41.7551	327.9619	277.0808	131.9022	-76.2903	0.3605	0.7236	0.2405
1960-10-01	45.2801	326.3912	277.4025	130.8996	-77.5739	0.308	0.5677	0.1404
1961-01-01	44.6942	326.7062	277.8668	128.72	-78.5021	0.2162	0.4959	0.65
1961-04-01	47.5896	328.2236	278.9698	130.1204	-79.0582	0.244	0.4296	1.1506
1961-07-01	49.359	329.5706	278.9071	132.2649	-78.7796	0.2604	0.4173	0.478
1961-10-01	46.3697	331.4181	280.3691	135.537	-77.6752	0.3274	0.5929	0.4056
1962-01-01	49.9788	333.0467	281.0621	137.2807	-77.4659	0.5171	0.6068	1.0626
1962-04-01	48.931	333.7484	281.8133	139.6727	-76.6507	0.1625	0.6433	0.507
1962-07-01	53.0603	334.2388	282.233	140.0204	-77.3162	0.2069	0.7017	0.4814
1962-10-01	58.0338	334.0643	282.6555	139.9648	-78.5151	0.1953	0.7203	0.7304
1963-01-01	57.2082	334.683	282.6403	140.9135	-78.398	0.4394	0.7309	0.5462
1963-04-01	58.1472	335.5446	283.0374	144.422	-78.2001	0.1664	0.7301	0.3342
1963-07-01	63.1417	337.0685	284.0923	146.228	-78.3412	0.1218	0.8189	0.8943
1963-10-01	62.9988	337.3582	284.5235	148.5359	-77.9902	0.8103	0.8488	0.3401
1964-01-01	69.3115	339.0758	285.7387	151.5097	-76.5704	0.3179	0.8512	-0.3957
1964-04-01	66.5617	339.8593	286.8935	151.5161	-76.5361	0.2405	0.8576	0.8647
1964-07-01	69.5864	340.7782	287.9464	152.9571	-76.3286	0.4032	0.8496	0.8963
1964-10-01	68.7918	340.6909	288.4852	152.6101	-75.8013	0.4557	0.8786	0.2901
1965-01-01	68.3069	342.7109	289.1499	157.5046	-74.6696	0.5021	0.9741	-0.1152
1965-04-01	69.8923	343.6623	290.085	159.3951	-74.0884	0.446	0.9989	0.2276
1965-07-01	77.7447	345.3421	291.1604	161.8924	-74.1851	0.396	0.9981	0.6534
1965-10-01	80.6494	347.3369	293.1294	164.1137	-73.5761	0.6759	1.0206	0.7999
1966-01-01	83.8665	349.5087	293.8035	167.7279	-72.4107	0.645	1.114	1.0649
1966-04-01	82.0408	349.6373	294.5371	165.8937	-71.715	0.8188	1.1991	0.762
1966-07-01	82.6032	350.0632	295.0476	166.2816	-71.5333	0.9675	1.3172	0.4499
1966-10-01	86.4001	350.6177	295.3574	163.8714	-72.1017	0.8454	1.3535	0.5034
1967-01-01	94.206	351.1993	296.0303	161.617	-72.5449	0.4149	1.1776	0.9255
1967-04-01	98.8593	350.9133	296.5363	164.0623	-73.5337	0.5048	0.9781	1.1032
1967-07-01	96.988	351.2817	296.937	164.349	-73.6975	0.9517	0.9549	0.397
1967-10-01	100.7618	351.629	297.171	166.2813	-73.6961	1.0923	1.0221	0.2569
1968-01-01	106.7292	353.2508	298.4541	168.9193	-73.9079	1.1051	1.1689	1.5488
1968-04-01	109.2749	354.586	299.5512	168.799	-73.2924	1.0492	1.452	0.5579
1968-07-01	108.5557	354.8965	300.5058	170.487	-73.0023	0.9804	1.4433	0.6448
1968-10-01	106.6465	354.866	300.7913	171.7698	-72.8628	1.4051	1.4371	0.5707
1969-01-01	105.9006	355.9607	301.3044	173.8651	-72.3774	1.0328	1.59	0.3165
1969-04-01	103.3157	355.8751	301.7849	173.8143	-71.8632	1.2692	1.9995	0.3362
1969-07-01	102.694	356.0699	302.0316	174.4869	-71.8131	1.3957	2.1506	0.3801
1969-10-01	102.3415	355.151	302.5878	172.1156	-72.5997	1.2813	2.1407	0.6315
1970-01-01	106.7602	354.4542	303.0768	170.8911	-73.5132	1.3993	2.0564	0.3913
