Specification,Mon. pol.,Gov't exp.,Wage markup,Temp. tech.,News,Price markup,Inv. spec.
S1,0.945,0.999,1.0,0.113,0.999,1.0,0.999
S2,0.81,0.94,1.0,0.383,0.868,1.0,0.482
S3,0.013,0.052,0.999,0.057,0.993,1.0,0.982
S4,0.008,0.032,0.999,0.046,0.877,0.994,0.982
S5,0.749,0.029,1.0,0.04,0.195,0.961,0.955
S6,0.005,0.349,0.999,0.099,0.37,0.977,0.226
S7,0.677,0.15,1.0,0.091,0.262,0.956,0.417
S8,0.005,0.037,0.999,0.014,0.063,0.93,0.031
S9,0.006,0.009,0.999,0.009,0.048,0.959,0.019
S10,0.006,0.009,0.998,0.007,0.007,0.007,0.008
